Stations,RUBUNGORAB,KABUYESW,BUTAMWA,MULINDI,RWESERO,RUKOZO,RUTONGO,CYINZUZI,MUGAMBAZI,RUSIGA,BUTARO,KINONI,NTARUKA,KAGOGO,RUHUNDE,SHINGIRO,NYANGEKABEZA,KINIGI,REMERA,NEMBAPAROISSE,CYABINGO,MINAZI,MUYONGWE,JANJA,RUSHASHI,RULI,GACURABWENGE,MUGINA,KAYENZI,NYABINONI,RUGENDABARI,KIVUMU,KIBANGU,NYAMABUYE,MWENDO,GITWE,KIGOMA,KINAZI,RURANGAZI,NYAMIYAGAPAROISSE,BUSASAMANANYANZA,KARAMAGAHORORO,KIGOMA,SIMBI,NYAKIBANDA,RUBONA,GIKONKO,CYILI,MUKINDO,GAKOMA,SAVE,KANSI,KIGEMBE,CYAHINDA,RUNYOMBYI,KIBEHO,MUDASOMWATARESECTOR,GATARE,BURUHUKIRO,MUSHUBIPAROISSE,KADUHASECTOR,CYANIKAKUISHURI,KIGEMEKUISHURI,KITABITEA,NYAMATAPAROISSE,RUHUHA,JURU,KARAMA,GISHALI,MWULIRE,NZIGE,RWAMAGANA,MUSHA,KABARONDO,GAHINI,MWIRI,MUKARANGE,RWINKWAVU,NDEGO,MURUNDI,KIZIGURO,RWIMBOGO,GABIRO,GASANGE,NYAGAHANGA,NGARAMA,KABARORE,MUHURA,NYAKIGAKARAMA,KAGITUMBAGARDENFRESH,GATUNDA,MUTENDERI,SAKE,ZAZA,JARAMA,KIREHE,MUSAZA,NYAMUGALI,NYARUBUYE,MPANGA,GAHARA,MURAMBA,GATUMBA,KABAYA,MUHANDARUBAYA,NYANGE,SOVU,NYUNDO,RYABIZIGE,BUSASAMANA,KANAMA,RUGABANO,GISHYITA,RUGABANOTEA,TWUMBA,MUSHUBATI,GIHANGO,BONEZA,MURUNDAPAROISSE,RUGERA,RWANKERI,BIGOGWE,NYAMASHEKE,NTENDEZI,CYATO,KIRIMBI,KANJONGO,SHANGI,NKANKA,NYAKABUYE,MURURU,MIBIRIZI,GITEGA,KIGALIAERO,GIKONGOROMET,BYIMANA,RUBENGERAMET,GISENYIAERO,KAMEMBEAERO,BUSOGOISAE,RUHENGERIAERO,BYUMBAMET,NYAGATARE,KAWANGIRE,KIBUNGOKAZO,BUGARAMARIZ
LON,30.16,30.07111,30.03333,30.05,30.16,29.94833,30.05,30,30.05,29.94778,29.83,29.71,29.75,29.76,29.93,29.5,29.51,29.59419,29.75,29.78,29.68,29.78,29.87,29.67,29.85726,29.81,29.91,29.94,29.85,29.68,29.66,29.8,29.68,29.78,29.68,29.7,29.8,29.91,29.65,29.86,29.76,29.64,29.63,29.7,29.68,29.76,29.86,29.88,29.91,29.85,29.76,29.75,29.7,29.6,29.51,29.55,29.45,29.48185,29.38,29.45,29.53,29.6,29.53,29.43,30.45,30.01,30.19,30.28,30.42961,30.4046,30.34012,30.43,30.3327,30.5575,30.50751,30.57677,30.5,30.605,30.71153,30.54625,30.28,30.44,30.4,30.29,30.2,30.23,30.38,30.23,30.3,30.56,30.21,30.48,30.39029,30.43251,30.37914,30.66,30.62915,30.74958,30.75319,30.79871,30.50404,29.68,29.63306,30.55293,29.63194,29.58,29.52,29.31,29.31,29.34514,29.35,29.48019,29.29194,29.47938,29.36242,29.3977,29.38365,29.30694,29.38333,29.61,29.51,29.42374,29.08,29.04478,29.20117,29.22428,29.13669,29.00594,28.93214,29.02669,28.89019,28.95642,30.06,30.11,29.55,29.71,29.41,29.26,28.91,29.55,29.61,30.05,30.31,30.43,30.5,29.02
MONTHLY/LAT,-1.92,-1.890556,-2.016667,-1.48,-1.8,-1.62194,-1.81,-1.76,-1.8,-1.61,-1.41,-1.43,-1.46,-1.55,-1.6,-1.5,-1.46,-1.440278,-1.53,-1.6,-1.56,-1.73,-1.72,-1.68,-1.727652,-1.81,-2.1,-2.11,-1.9,-1.76,-1.95,-2.05,-1.83,-2.08,-2.15528,-2.21,-2.23,-2.2,-2.35,-2.46,-2.35,-2.6,-2.46,-2.52,-2.65,-2.46,-2.48,-2.48,-2.46,-2.71,-2.55,-2.7,-2.73,-2.73,-2.78,-2.65,-2.5,-2.514158,-2.38,-2.36,-2.33,-2.43,-2.48,-2.55,-2.15,-2.35,-2.1,-2.26,-1.913807,-1.97656,-2.02628,-1.93,-1.931578,-2.01056,-1.847942,-1.880582,-1.9,-1.972123,-2.014543,-1.704987,-1.63,-1.63,-1.55,-1.8,-1.61,-1.58,-1.62,-1.52,-1.218333,-1.63,-1.36,-2.26,-2.225327,-2.155898,-2.277985,-2.26,-2.3314,-2.285803,-2.18378,-2.16765,-2.334903,-1.56,-1.9475,-1.770633,-1.94778,-2.05,-1.91,-1.7,-1.62,-1.604867,-1.7,-2.056472,-2.155167,-2.09678,-2.241972,-2.016467,-1.95,-1.903333,-1.916667,-1.61,-1.58,-1.626994,-2.34,-2.446222,-2.407028,-2.256861,-2.318444,-2.409639,-2.418833,-2.563722,-2.537361,-2.573806,-1.96,-1.95,-2.48,-2.16,-2.07,-1.68,-2.46,-1.56,-1.48,-1.6,-1.28,-1.81,-2.15,-2.68
198301,16.33935,17.31065,16.23097,13.17903,16.27387,13.05839,14.99484,13.74419,14.99484,13.05839,11.54065,11.18065,11.72452,11.78871,12.83355,8.63677,9.36742,10.55258,11.72839,12.95484,13.11194,14.34355,13.2171,16.36806,13.42581,14.27774,14.99452,14.99452,16.31097,16.3,15.14806,13.12419,15.08613,13.14516,14.97419,14.60419,14.43613,14.99161,16.20935,14.06065,15.73452,13.51161,15.14097,15.92355,14.65935,14.81129,14.06065,13.96194,14.08097,14.61548,15.73581,14.9371,15.00258,13.87613,12.48903,13.44129,11.41419,12.02258,10.96774,13.25419,14.8129,15.35903,13.38742,11.29419,15.9371,14.91161,15.65032,16.43,17.06419,17.4971,14.64548,17.06419,17.65613,16.34806,17.98774,18.20355,16.96097,17.70806,16.67806,15.40935,13.57871,17.17323,17.34258,15.33968,12.97645,13.21161,16.64129,13.8729,17.12935,16.38484,16.34677,15.26323,14.48613,15.9371,14.62548,17.24581,17.5371,17.06581,17.24387,17.34355,14.8229,13.11194,14.59839,16.99903,14.59839,13.29194,13.21129,13.03323,12.91806,11.96774,12.30871,12.14323,15.15484,12.7571,10.18774,16.05129,14.1029,14.65452,15.17387,11.85645,9.53355,10.30452,14.24742,13.56839,11.14355,14.24871,14.19742,15.64581,14.70774,12.23258,13.99065,12.43419,16.85677,16.60226,14.10484,14.80194,16.38258,15.75548,16.07,10.11871,11.1271,13.3929,17.52355,15.67548,15.59258,19.04839
198302,17.07821,17.30964,16.40607,14.43536,17.65429,12.19571,15.045,13.90571,15.045,12.19571,12.15571,11.60357,12.44464,12.42179,12.2425,8.8775,9.60643,10.92679,12.47464,13.27929,14.12893,14.65714,13.28607,16.36214,13.52429,14.53071,15.02929,15.02929,16.59429,16.51429,15.25714,13.30714,15.37643,13.3275,15.30821,14.93964,14.72214,15.11393,16.10571,13.90321,15.86,13.4975,15.10321,15.91214,14.68036,14.855,13.90321,13.72,13.88321,14.26179,15.64143,14.90679,15.1625,13.86536,12.43893,13.45929,11.38,12.03857,10.51143,13.10536,14.81143,15.38643,13.45464,11.2525,16.42321,14.71214,15.8975,17.02357,16.62857,16.85,13.65571,16.62857,17.69714,16.23464,17.17607,17.28179,16.53464,16.91786,16.59786,16.3825,17.76,17.81107,18.41036,16.73893,16.28429,17.68036,18.095,17.82143,18.13393,18.01429,18.01714,15.7925,15.46429,16.42321,15.43679,16.67857,16.87036,17.745,18.09607,18.10964,15.54536,14.12893,14.75429,16.63679,14.75429,13.35393,13.73393,13.88071,13.56286,12.57893,13.10179,12.33607,15.43964,12.94107,10.81143,16.39571,14.64714,15.20714,15.68321,12.65107,10.05964,10.965,14.26714,13.47536,11.16036,14.37714,14.01821,15.61429,14.6925,12.34,14.16429,12.63321,16.98393,16.74464,14.14464,15.10321,16.68714,16.24536,16.08429,10.99036,11.93071,13.56857,18.10857,17.27893,15.99679,19.08429
198303,15.44226,15.0871,16.07065,13.07065,14.68032,12.58484,13.35387,12.63774,13.35387,12.58484,11.66129,11.10581,11.99097,11.87839,12.31742,7.69774,8.74161,10.92968,11.95452,11.93387,13.51871,14.4171,12.69968,15.79645,13.04323,15.5571,14.54968,14.54968,16.61355,15.0729,15.21806,12.97129,15.76968,12.94903,15.05613,14.63613,14.14903,14.92,14.18,13.71097,14.62903,13.36387,14.25935,14.83581,14.53129,14.45903,13.71097,13.5429,13.88419,13.88258,15.35032,14.47548,14.6771,13.73516,12.39677,13.51677,11.42774,12.03226,11.41903,13.07258,13.04258,14.30645,13.36903,11.32097,15.68129,14.81548,16.10871,16.66161,16.37645,16.77548,13.52613,16.37645,12.82871,15.9329,17.15548,17.31516,16.32097,17.01419,16.22935,15.29097,13.64516,15.47581,15.2229,14.95613,13.17323,13.39871,15.2629,13.01613,12.80226,14.77581,12.79968,15.16613,14.55452,15.68129,14.64871,16.68774,16.84871,17.96742,16.91161,16.68903,14.88645,13.51871,13.81581,16.39226,13.81581,13.98871,11.49516,13.73065,13.2471,12.24935,12.82677,13.76161,14.92065,13.93161,15.65484,16.21935,13.06032,13.86161,15.18548,11.23903,8.74194,10.56935,13.87097,13.00742,17.46935,13.99935,13.7829,15.23581,14.35065,11.96129,13.69,12.19484,16.0729,16.16839,14.00387,14.71419,16.71548,16.32677,15.72452,9.96032,11.93323,13.26355,12.78677,14.83097,15.26968,18.77613
198304,15.48067,14.592,15.75567,12.35533,14.78067,11.50167,12.56567,12.01267,12.56567,11.50167,11.59567,11.177,11.87,11.766,11.33333,7.92933,8.993,11.18133,11.84533,12.05267,13.30367,13.61167,11.547,14.46033,12.02167,14.432,14.509,14.509,15.28133,14.288,14.68633,12.04367,14.72967,12.047,14.993,14.66733,13.92333,14.74133,13.413,14.65967,14.32,13.14567,14.354,14.406,14.27933,14.32067,14.65967,14.769,14.94933,14.61833,14.835,13.97433,14.16767,13.696,12.557,13.74533,11.49433,11.77267,11.73267,12.09133,12.299,14.219,13.00333,11.524,15.64267,15.35033,15.69067,16.095,16.65767,15.882,13.93633,16.65767,13.47433,16.347,16.22467,16.06967,16.58233,16.345,16.07033,15.70633,14.18833,15.46767,15.459,14.87333,13.29033,13.96067,15.44833,13.83967,14.67767,15.25467,14.428,14.25733,13.36333,15.64267,13.70467,16.91167,17.30267,14.895,15.92267,15.18067,13.946,13.30367,13.069,16.61967,13.069,13.20467,10.44533,12.56933,12.88167,11.87467,12.101,13.397,15.29767,13.39467,10.91167,16.036,12.90767,13.832,13.75267,11.45867,9.127,10.90133,14.06667,12.751,11.83067,14.60933,14.246,15.27967,14.71533,12.376,13.797,12.55367,15.75533,16.021,14.086,14.89567,15.64267,16.17733,15.88033,10.39,12.61567,13.00633,14.823,14.51633,14.70067,18.75533
198305,15.96581,15.4129,16.32452,13.29323,15.63452,12.22,13.35839,12.67419,13.35839,12.22,12.77484,12.17548,13.41484,13.0829,12.16,8.82774,9.79935,11.91129,13.29806,12.71387,14.31677,14.65484,12.83355,15.92161,13.13871,15.84452,14.65,14.65,16.21323,15.60194,15.27032,12.69774,15.92516,12.6229,15.42903,15.39774,14.65161,15.18774,14.38968,14.48161,14.88677,13.99387,14.59258,15.06323,14.71258,14.85484,14.48161,14.41774,14.51387,14.97871,15.70097,15.01129,14.91387,14.10645,13.24903,13.89,12.36806,12.84903,11.12548,12.89484,13.15968,14.63065,14.00645,12.22097,16.27516,15.18968,16.30613,16.74839,16.57645,17.0029,14.71613,16.57645,14.24065,16.57968,17.08452,17.20129,16.56645,17.20645,16.66839,15.87323,15.22226,16.1629,16.40419,15.50516,14.24129,14.89129,16.13548,15.0629,15.62871,16.1729,15.47839,15.51581,15.27968,16.27516,15.42097,16.83935,17.06032,17.86645,16.96484,16.85194,15.47419,14.31677,13.67935,16.45968,13.67935,14.0071,10.95839,13.62839,13.61194,12.66065,13.01806,13.83419,15.39258,14.09065,11.17161,16.44903,13.42452,14.17677,14.32032,12.11387,9.77129,11.10645,14.40548,13.04129,12.43419,14.58,14.45968,15.5371,15.05355,12.78419,14.76871,13.41129,16.41452,16.64032,14.62129,15.34871,16.95742,16.42935,16.51613,11.14129,13.51323,13.18,15.64871,15.87097,15.88161,19.53226
198306,15.34167,14.871,15.80633,12.90133,14.925,12.055,13.034,12.28833,13.034,12.055,11.666,11.259,11.93133,11.746,11.957,8.34933,9.15467,10.92733,11.81167,11.732,13.26733,13.87667,12.42133,15.16967,12.673,14.93167,14.32533,14.32533,16.16467,14.62733,14.92433,12.98267,15.34667,13.15867,14.35833,14.078,13.905,14.54333,14.58567,13.73167,14.61667,13.89267,14.774,15.092,15.13333,14.531,13.73167,13.52933,13.69667,14.08467,15.545,15.23833,15.68467,14.21567,12.217,13.752,10.94533,11.756,10.12767,13.555,13.32467,14.674,13.24467,10.89333,15.61267,14.45733,15.28733,15.24433,16.523,16.69567,16.48167,16.523,16.42833,16.47067,16.97967,17.10333,16.468,17.136,16.50167,15.44033,14.21467,14.84167,14.922,15.00333,13.58467,13.77867,14.72667,13.78,13.64633,14.834,13.58467,15.75233,14.93833,15.61267,15.26233,16.948,17.098,17.813,16.68367,16.75667,15.52533,13.26733,12.967,16.295,12.967,13.18367,9.709,13.19233,12.77467,11.97467,12.508,13.195,14.84067,13.47967,15.33267,15.96367,11.927,13.334,13.94833,11.348,9.21933,10.53767,14.01433,13.268,11.878,13.60133,13.84233,15.02767,14.04467,11.96133,13.64533,12.22033,15.887,16.03033,13.90667,14.07567,16.41167,15.44,15.38767,10.338,11.86933,12.69767,13.64167,15.33833,15.842,18.35967
198307,14.68839,14.43903,15.32161,12.11452,14.1571,12.93355,12.93548,12.24774,12.93548,12.93355,10.95452,10.22613,11.38645,11.31806,12.71097,11.10355,7.50613,9.78677,11.37677,11.23387,12.09161,12.50581,11.33806,13.61677,11.51258,12.60323,13.45742,13.45742,13.31516,13.38677,13.5829,11.34548,13.66581,11.35774,13.03065,12.85097,12.69581,13.99806,14.09806,12.45097,13.93548,12.11323,13.67258,14.17871,13.88129,13.83032,12.45097,12.08323,12.08548,12.48484,14.80194,13.82065,14.30129,12.88387,10.83839,12.23129,9.49581,10.22935,9.23968,13.16871,13.40742,13.99677,11.98935,9.33839,15.05419,13.70871,14.99645,15.00226,16.09774,16.28581,16.27742,16.09774,15.69387,16.16419,16.49129,16.57161,16.04774,16.59355,16.26774,15.10484,12.47903,13.73129,13.72839,14.29387,12.16645,12.03484,13.41581,12.03968,12.39323,13.75677,12.25968,15.62935,14.91839,15.05419,15.2329,16.43774,16.52,17.09452,16.44258,16.28129,15.58613,12.09161,10.8129,16.02065,10.8129,11.07323,13.4129,11.18774,11.30452,10.30355,10.61,11.80161,13.94258,12.16419,14.71258,14.95161,10.3971,11.90161,11.24839,10.06452,7.55355,8.9371,12.74935,11.97161,11.10097,12.58097,12.85258,14.05065,13.32581,10.79742,12.49419,11.01,15.22903,15.53484,13.03516,12.85355,15.53194,14.49355,14.58419,8.93548,11.15419,12.93452,12.46548,14.48161,15.34032,17.1729
198308,15.38484,15.16258,15.93097,12.06871,14.55677,12.64,13.24387,12.40581,13.24387,12.64,11.40806,10.18161,11.94419,11.87774,12.28258,10.85839,7.16774,9.66742,12.02452,11.40032,12.5471,12.63742,11.81871,13.39452,11.94548,12.80419,13.78935,13.78935,13.54935,13.21677,13.74548,11.3329,13.53,11.67903,14.07097,13.93968,13.44161,14.40484,14.22387,12.64452,14.46194,12.34903,14.02839,14.72387,14.01742,14.17935,12.64452,12.27581,12.17484,12.34323,15.35516,13.82935,14.20419,13.06226,11.09065,12.36871,9.76161,10.61226,8.87387,12.56387,13.43774,14.48516,12.62387,9.50903,16.76742,13.73871,15.76161,16.18065,16.16419,16.14516,15.29226,16.16419,15.32548,16.84968,15.51194,15.22548,16.91258,16.37516,16.80774,15.57032,12.34516,14.08806,14.03806,14.61903,12.00161,11.89806,13.74097,11.93387,12.98516,14.07871,12.62903,15.60516,15.08871,16.76742,15.16581,17.47516,16.65806,15.92097,16.48258,16.04871,15.1929,12.5471,11.85548,15.28871,11.85548,12.28097,8.6571,11.61645,11.56452,10.2829,10.56258,12.71839,13.74613,12.93387,15.38548,15.51613,11.38968,12.14194,12.29097,10.40548,7.36613,8.83,13.08355,12.44226,10.80323,12.73258,13.25839,14.6729,13.79645,10.97839,12.80871,11.14161,16.09581,16.41032,13.27774,13.91935,15.32129,14.68452,15.15097,9.26581,11.36516,13.02613,13.09935,14.86645,16.56548,17.52161
