Year,Station,GITEGA,BUTAMWA,MUHIMA,KABUSUNZU,COLLEGE ST ANDRE,LYCEE ND CITEAUX,RUGUNGA,RWAMPARA,RUBUNGO,KABUYE SUGAR,KIGALI AERO,MASAKA,RUBIRIZI,NYANZA,GIHISI,BUSASAMANA-NYANZA,BUSORO,MWEYA,NYAMIYAGA,RURANGAZI,CYILI_Rice Cooperative,GIKONKO,KANSI ECOLE,KANSI PAROISSE,KIGEMBE,GAKOMA,MUKINDO_SECTOR,SAVE PAROISSE,SAVE ,RUNYOMBI,CYAHINDA,KIBEHO,NSHILI,MATA,MUGANZA,MUTOVU,MUNINI,NSHILI-THE,AGASE,RURAMBA,NYAKIBANDA_GRAND_SEMINAIRE,BUTARE AERO,BUTARE MISSION,GAHORORO_KARAMA_HUYE,KIGOMA-NYAMUGALI_HUYE,NYAMUGARI,MWOGO,RUBONA COLLINE,SIMBI,BISHYIGA,BURUHUKIRO,CYANIKA,GIKONGORO MET,KIGEME,GIKONGORO PREF,MUSEBEYA CRETE,GATARE,KADUHA,KITABI,MBAZI,MUSHUBI,MBUGA,MUDASOMWA/TARE,GITWE,BYIMANA,KARAMBI,CYERU,KINAZI,MUKUNGURI,KABUGA,GITARE,GISANGA,MAYUNZWE,KAGEYO,URURUMANZA,MWENDO,RUBONA TAMBWE,KIGOMA-RUHANGO,KIVUMU,KIBANGU,KANYANZA,BULINGA,NGARU,NYABINONI,NYAMABUYE,GITARAMA CFMTP,KABGAYI MARAIS,KABGAYI MISSION,RUGENDABARI,SHYOGWE,MURAMBI,GIHINGA-GACUR,KAYENZI,MUGINA,MUSAMBIRA,RUGOBAGOBA,GIHETA,KIBUYE,NYAMISHABA,GISHYITA,MUGONERO,MUBUGA,MUBUGA,KIRINDA,RUBENGERA MET,RUBENGERA ECOLE,BIRAMBO,RUGABANO,GISOVU,WISUMO,TWUMBA,ESPERANCE CHILDREN ,RUGABANO TEAN COMPANY,BONEZA,RUTSIRO,GIHANGO,MURUNDA,KIVUMU,CRETE CONGO-NIL,MUSHUBATI,TAMIRA,BUSASAMANA-RUBAVU,RYABIZIGE,GISENYI AERO,GISENYI FREF,KANAMA,NYUNDO,PFUNDA,BIGOGWE,KORA,KABATWA,RWANKERI-NYABIHU,RAMBURA,RUGERA,GATUMBA,MURAMBA PAROISSE,KABAYA,MUHANDA-RUBAYA,NYANGE-NGOR,SOVU,BUGARAMA RIZ,MIBIRIZI,KAMEMBE AERO,SHAGASHA,BUGARAMA COMMUNE,MASHESHA,CYANGUGU,GATANDARA,MURURU,NKANKA,NYAKABUYE,GISAKURA,NTENDEZI,KAMATSIRA-RANGIRO,CYATO,NYAMASHEKE,MASEKA-KIRAMBO,KANJONGO,BIGUTU,MWEZI,KIRIMBI,GATARE,MWAGA,SHANGI,BUMAZI,RULINDO,CYINZUZI,RUTONGO,MUGAMBAZI/murambi,KIRULI,RWAGIHURA,RUKOZO,RUSIGA,CYABINGO,JANJA,MINAZI,CYATA,RUGANDA,MUYONGWE,NEMBA,RULI- MUSASA,RUSHASHI,RUTABO,RWANKUBA,REMERA-RUHONDO,BUSOGO-ISAE,MUKINGO,RUHENGERI AERO,KINIGI,NYAKINAMA,MUSANZE,KARISOKE,RUHENGERI PREF,NYANGE-MUSANZE,RWAZA,RWAZA,KARISOKE,SHINGIRO,BUNGWE,BUTARO,KAGOGO,BULERA LAC,NTARUKA,KINONI,RUHUNDE,RWERERE COLLINE,RWESERO,KARAMBO,BYUMBA MET,BYUMBA PREF,MULINDI MARAIS,MULINDI USINE,KABEZA-NYAM,RUHUNDA,GISHARI,RWAMAGANA,GIKORO,MUSHA,MWURIRE,NZIGE,MUREHE,GATUNDA,NYAKIGA-NYAGATARE,KAGITUMBA,NYAGATARE,RWEMPASHA,KARANGAZI,GARDEN FRESH,GASANGE,MUHURA,KABARORE,KIZIGURO,NGARAMA,NYAGAHANGA EFA,NYAGAHANGA-CERAI,GABIRO,RWIMBOGO,GAHINI,KABARONDO,MURUNDI,KAYONZA,LAC IHEMA,MWIRI,KAWANGIRE,RUKARA,RWINKWAVU,AKAGERA,NDEGO,GAHARA,RUSUMO-BGM,KIREHE,MPANGA,MUSAZA,NYAMUGALI-KIREHE,BUKORA,NYARUBUYE,GAHORORO,MBUYE,JARAMA,KIBUNGO-KAZO,KIBUNGO,BARE,MUTENDERI,RUKIRA,RUKUMBERI,SAKE,ZAZA,KARAMA KILIMBI,KARUTETE,KARAMA ISAR,NYAMATA,RUHUHA,JURU
,District,Nyarugenge ,Nyarugenge ,Nyarugenge ,Nyarugenge ,Nyarugenge ,Nyarugenge ,Nyarugenge ,Nyarugenge ,Gasabo ,Gasabo ,Kicukiro,Kicukiro,Kicukiro,Nyanza ,Nyanza ,Nyanza ,Nyanza ,Nyanza ,Nyanza ,Nyanza ,Gisagara ,Gisagara ,Gisagara ,Gisagara ,Gisagara ,Gisagara ,Gisagara ,Gisagara ,Gisagara ,Nyaruguru ,Nyaruguru ,Nyaruguru ,Nyaruguru ,Nyaruguru ,Nyaruguru ,Nyaruguru ,Nyaruguru ,Nyaruguru ,Nyaruguru ,Nyaruguru ,Huye ,Huye ,Huye ,Huye ,Huye ,Huye ,Huye ,Huye ,Huye ,Nyamagabe ,Nyamagabe ,Nyamagabe ,Nyamagabe ,Nyamagabe ,Nyamagabe ,Nyamagabe ,Nyamagabe ,Nyamagabe ,Nyamagabe ,Nyamagabe ,Nyamagabe ,Nyamagabe ,Nyamagabe ,Ruhango ,Ruhango ,Ruhango ,Ruhango ,Ruhango ,Ruhango ,Ruhango ,Ruhango ,Ruhango ,Ruhango ,Ruhango ,Ruhango ,Ruhango ,Ruhango ,Ruhango ,Muhanga ,Muhanga ,Muhanga ,Muhanga ,Muhanga ,Muhanga ,Muhanga ,Muhanga ,Muhanga ,Muhanga ,Muhanga ,Muhanga ,Muhanga ,Kamonyi ,Kamonyi ,Kamonyi ,Kamonyi ,Kamonyi ,Kamonyi ,Karongi ,Karongi ,Karongi ,Karongi ,Karongi ,Karongi ,Karongi ,Karongi ,Karongi ,Karongi ,Karongi ,Karongi ,Karongi ,Karongi ,Karongi ,Karongi ,Rutsiro ,Rutsiro ,Rutsiro ,Rutsiro ,Rutsiro ,Rutsiro ,Rutsiro ,Rubavu ,Rubavu ,Rubavu ,Rubavu ,Rubavu ,Rubavu ,Rubavu ,Rubavu ,Nyabihu ,Nyabihu ,Nyabihu ,Nyabihu ,Nyabihu ,Nyabihu ,Ngororero ,Ngororero ,Ngororero ,Ngororero ,Ngororero ,Ngororero ,Rusizi ,Rusizi ,Rusizi ,Rusizi ,Rusizi ,Rusizi ,Rusizi ,Rusizi ,Rusizi ,Rusizi ,Rusizi ,Nyamasheke ,Nyamasheke ,Nyamasheke ,Nyamasheke ,Nyamasheke ,Nyamasheke ,Nyamasheke ,Nyamasheke ,Nyamasheke ,Nyamasheke ,Nyamasheke ,Nyamasheke ,Nyamasheke ,Nyamasheke ,Rulindo ,Rulindo ,Rulindo ,Rulindo ,Rulindo ,Rulindo ,Rulindo ,Rulindo ,Gakenke ,Gakenke ,Gakenke ,Gakenke ,Gakenke ,Gakenke ,Gakenke ,Gakenke ,Gakenke ,Gakenke ,Gakenke ,Musanze ,Musanze ,Musanze ,Musanze ,Musanze ,Musanze ,Musanze ,Musanze ,Musanze ,Musanze ,Musanze ,Musanze ,Musanze ,Musanze ,Burera ,Burera ,Burera ,Burera ,Burera ,Burera ,Burera ,Burera ,Gicumbi ,Gicumbi ,Gicumbi ,Gicumbi ,Gicumbi ,Gicumbi ,Gicumbi ,Rwamagana ,Rwamagana ,Rwamagana ,Rwamagana ,Rwamagana ,Rwamagana ,Rwamagana ,Rwamagana ,Nyagatare ,Nyagatare ,Nyagatare ,Nyagatare ,Nyagatare ,Nyagatare ,Nyagatare ,Gatsibo ,Gatsibo ,Gatsibo ,Gatsibo ,Gatsibo ,Gatsibo ,Gatsibo ,Gatsibo ,Gatsibo ,Kayonza ,Kayonza ,Kayonza ,Kayonza ,Kayonza ,Kayonza ,Kayonza ,Kayonza ,Kayonza ,Kayonza ,Kayonza ,Kirehe ,Kirehe ,Kirehe ,Kirehe ,Kirehe ,Kirehe ,Kirehe ,Kirehe ,Kirehe ,Kirehe ,Ngoma ,Ngoma ,Ngoma ,Ngoma ,Ngoma ,Ngoma ,Ngoma ,Ngoma ,Ngoma ,Bugesera ,Bugesera ,Bugesera ,Bugesera ,Bugesera ,Bugesera 
,LON,30.05777,30.03,30.06,30.05,30.06,30.06,30.06835,30.08,30.16778,30.07,30.13307,30.21,30.11,29.75,29.75,29.76,29.91,29.63,29.86,29.65,29.89778,29.86667,29.75,29.77617,29.7,29.91972,29.85839,29.76,29.76,29.53592,29.60889,29.5525,29.46,29.58404,29.5,29.46,29.55,29.43,29.43,29.51,29.70194,29.74,29.73,29.64374,29.63,29.65,29.6,29.76,29.67566,29.45,29.41147,29.60278,29.7758,29.53694,29.55,29.38,29.38731,29.53417,29.43,29.58,29.44328,29.46,29.48185,29.7,29.71,29.65,29.95,29.91,29.9,29.86,29.85,29.86,29.83,29.81,29.85,29.68,29.86,29.8,29.8,29.68,29.78,29.7,29.66,29.68,29.78,29.76,29.75,29.75,29.66,29.78,29.8,29.91,29.85,29.94,29.85,29.88,29.83,29.35,29.35,29.3,29.3,29.31,29.3,29.56,29.41047,29.41,29.5,29.48,29.35,29.3,29.36,29.4825,29.47938,29.29728,29.4,29.38369,29.37517,29.3,29.4,29.3975,29.35,29.33,29.31,29.25985,29.25,29.35,29.31,29.28,29.41,29.45,29.46,29.51,29.51,29.61,29.63306,29.6,29.5,29.63194,29.58,29.52,29.02,28.95642,28.92,28.93,29.03,29,28.88,28.9,28.88,28.93198,29.03,29.08,29.05,29.2,29.2,29.08,29.15,29.13669,29.03,29.03,29.21,29.18,29.05,29,29.03,29.91,30.12135,30.06037,30.05027,29.93,29.96,29.94833,29.93714,29.68842,29.67833,29.79461,29.88,29.88,29.87778,29.78747,29.8,29.85726,29.85,29.85,29.75,29.55083,29.56,29.63194,29.59419,29.63,29.58,29.5,29.6,29.61468,29.68,29.68,29.33,29.55297,29.96,29.83639,29.77915,29.76,29.75654,29.72806,29.95859,29.88,30.179,30.23,30.04957,30.06,30.05,30.03479,30.11494,30.43,30.42961,30.43,30.33,30.35,30.38,30.36,30.26,30.21,30.3,30.45,30.31,30.15,30.38944,30.56,30.29,30.23,30.38,30.28,30.23,30.2,30.21,30.4,30.44,30.5,30.5575,30.53806,30.5,30.75,30.54639,30.43,30.48,30.63,30.66,30.71157,30.55,30.73,30.66,30.81,30.61,30.73,30.78,30.75,30.5,30.4,30.36,30.5,30.53,30.45,30.48,30.58,30.35,30.46,30.4,30.28,30.25,30.26,30.45,30.01,30.19
,ANNUAL/LAT,-1.95617,-2.01,-1.93,-1.96,-1.96,-1.95,-1.96202,-1.96,-1.979167,-1.89,-1.965028,-2,-1.98,-2.35,-2.36,-2.35,-2.28,-2.33,-2.46,-2.35,-2.504389,-2.483333,-2.7,-2.687417,-2.73,-2.492417,-2.73213,-2.55,-2.53,-2.785806,-2.740511,-2.647883,-2.76,-2.593335,-2.68,-2.65,-2.68,-2.73,-2.7,-2.55,-2.658694,-2.595,-2.61,-2.60833,-2.46,-2.46,-2.51,-2.46,-2.518456,-2.43,-2.426844,-2.447778,-2.46719,-2.49,-2.48,-2.36,-2.389265,-2.321587,-2.55,-2.36,-2.357611,-2.36,-2.514158,-2.21,-2.16,-2.21,-2.21,-2.2,-2.15,-2.15,-2.11,-2.13,-2.18,-2.15,-2.15,-2.15528,-2.18,-2.23,-2.05,-1.83,-1.9,-2,-1.73,-1.76,-2.08,-2.08,-2.11,-2.1,-1.95,-2.13,-2.08,-2.1,-1.9,-2.11,-2.05,-2.05,-2.08,-2.05,-2.06,-2.16,-2.18,-2.13,-2.11,-2.18,-2.0672,-2.05,-2.13,-2.06,-2.25,-2.28,-2.24,-2.291111,-2.09678,-1.897465,-1.95,-1.96605,-1.907767,-1.78,-1.96,-2.016389,-1.56,-1.6,-1.62,-1.67608,-1.68,-1.7,-1.7,-1.68,-1.61,-1.6,-1.6,-1.58,-1.68,-1.61,-1.9475,-1.75,-1.76,-1.94778,-2.05,-1.91,-2.68,-2.573806,-2.47,-2.48,-2.65,-2.6,-2.48,-2.5,-2.53,-2.418778,-2.6,-2.45,-2.45,-2.4,-2.41,-2.34,-2.3,-2.318444,-2.5,-2.51,-2.25,-2.3,-2.43,-2.38,-2.41,-1.71,-1.757778,-1.820433,-1.788148,-1.63,-1.63,-1.62194,-1.812861,-1.582344,-1.685556,-1.734522,-1.7,-1.78,-1.72,-1.634694,-1.8,-1.727652,-1.75,-1.75,-1.53,-1.554288,-1.53,-1.498889,-1.440278,-1.55,-1.5,-1.5,-1.51,-1.46309,-1.53,-2.53,-1.5,-1.500667,-1.5,-1.418333,-1.384752,-1.38,-1.60616,-1.438056,-1.61331,-1.53,-1.80229,-1.8,-1.586517,-1.58,-1.46,-1.477254,-1.694839,-1.9,-1.913807,-1.93,-1.91,-1.91,-1.98,-1.96,-2,-1.36,-1.601667,-1.05,-1.28,-1.36,-1.428889,-1.63,-1.8,-1.52,-1.62,-1.63,-1.58,-1.61,-1.61,-1.55,-1.63,-1.85,-2.01056,-1.70472,-1.9,-1.88,-1.705,-1.81,-1.8,-1.96,-1.93,-2.01471,-2.32,-2.26,-2.26,-2.06,-2.31,-2.28,-2.3,-2.2,-2.16,-2.25,-2.26,-2.15,-2.16,-2.3,-2.26,-2.21,-2.18,-2.2,-2.11,-2.26,-2.21,-2.25,-2.15,-2.35,-2.1
1983,1983,965,896,930,979,965,965,965,965,809,1054,779,763,943,1034,1034,974,729,1440,989,950,1188,989,919,796,1040,905,971,1163,1180,1655,1335,1145,2064,887,1328,1488,1145,2013,1708,1168,1241,1296,1251,963,1398,1773,1087,1107,1496,1300,1319,1296,1107,1110,1110,1130,1225,1051,1263,1022,1321,1156,1172,807,949,755,839,941,1087,1242,1199,1242,1282,1288,1242,1014,1131,1225,1024,1619,1526,1387,1662,1661,1058,1058,855,855,1405,1092,1024,1023,955,1023,1148,1062,1024,915,915,1381,1381,987,890,1854,1085,1085,1501,1504,1149,1182,1149,1165,1625,1478,1408,1408,1195,1358,1408,927,1182,1074,1074,1223,1223,1505,1105,1032,1160,1187,1197,1243,961,1079,1485,1255,1107,1485,1386,1421,1613,1167,1516,1516,1613,1046,1629,1372,1544,1393,1656,1464,1464,1789,1789,899,1263,1290,2002,2002,1445,1381,1464,1286,1372,1180,791,860,1079,1067,1140,1140,1006,979,1645,1223,1034,1143,1206,1467,1071,1282,1274,1274,1205,1277,1277,1028,1388,945,1242,1811,1242,1170,990,1496,1431,1418,1193,1288,1319,1319,1444,1103,1140,1201,822,1072,1005,1318,1116,1116,1036,951,951,951,806,806,816,758,957,600,600,466,544,813,598,505,1189,699,678,653,614,851,707,622,634,886,784,507,1035,729,356,779,668,762,772,642,830,748,681,676,844,756,787,676,1025,680,687,963,924,876,672,994,759,745,887,1019,854,1019,910,591,1047
1984,1984,833,699,760,700,833,833,833,833,806,977,766,747,843,1012,1012,935,728,915,774,645,997,774,874,858,962,824,1004,983,1043,1612,1263,1140,1974,505,1303,1344,1140,1877,1527,864,1105,1048,983,758,958,1470,648,802,918,1471,1540,1011,802,928,928,1478,1383,848,1422,864,1424,1198,1217,921,956,824,833,739,782,1037,952,1037,833,806,1037,908,883,994,691,744,1027,1549,1022,859,861,861,683,683,907,794,691,1012,773,1012,893,875,691,777,777,1363,1363,1163,850,1277,818,818,1373,1006,1473,1437,1473,1181,1213,1242,1149,1149,961,1049,1149,870,970,865,865,708,708,1325,924,897,964,736,806,985,772,874,1030,980,1075,1030,918,1247,1523,1186,1249,1249,1523,1083,1303,1152,1228,1268,1242,1475,1475,1951,1951,1093,1393,1228,1230,1230,1570,1277,1475,1137,1548,1008,986,887,941,1175,1143,1143,834,956,1187,821,912,960,1028,1393,746,948,918,918,1131,792,792,1030,1027,967,992,1576,992,932,1159,918,1203,1134,1039,1101,1052,1052,1319,1012,1143,1206,887,1000,908,1125,921,921,1088,718,718,718,877,877,966,906,1101,512,784,764,597,639,740,424,1232,846,796,928,875,1004,996,740,677,728,720,423,761,483,375,716,620,683,609,534,721,703,685,561,726,692,672,709,947,577,611,925,934,776,741,902,635,678,781,895,681,895,743,657,1007
1985,1985,973,1098,889,1060,973,973,973,973,883,1075,732,1005,1009,1314,1314,1275,836,976,968,1087,1126,968,1134,1104,1275,931,993,1116,1148,1745,1410,1358,2275,381,1552,1682,1358,2163,1911,1204,1583,1146,1189,632,1148,1431,789,911,1002,1593,1676,1176,911,1014,1014,1534,1536,1057,1569,1228,1581,1417,1548,954,1178,928,838,850,979,1282,1141,1282,1186,1218,1282,1031,1080,1101,987,1131,1040,2110,1190,1146,1189,1189,1048,1048,1314,1184,987,936,918,936,1107,1040,987,827,827,1516,1516,1109,815,1067,812,812,1087,971,1461,1423,1461,1321,986,1568,1121,1121,1426,1244,1121,922,1170,1013,1013,1171,1171,1362,1048,1042,1261,1145,1299,1243,1109,1166,1076,1010,1250,1076,1044,1172,1765,1240,1334,1334,1765,1215,1356,1211,1285,1228,1568,1121,1121,1926,1926,891,1324,1108,1661,1661,1608,1312,1121,1258,930,1610,1140,994,1056,1213,1251,1251,1171,1115,1312,1414,1400,1545,1495,1391,852,1448,1211,1211,1213,1023,1023,1236,1091,1177,1169,1860,1169,1105,1335,1002,1555,1310,1125,977,1073,1073,1259,1123,1251,1157,876,961,1153,1328,1167,1167,1372,900,900,900,1046,1046,1321,1099,1473,604,756,669,667,804,890,531,1155,959,715,941,901,1113,1050,705,603,806,1029,521,967,630,506,737,670,924,807,705,1017,794,766,576,918,781,836,862,1278,920,838,1274,1214,1188,1015,1168,1036,970,1134,740,645,740,1181,804,1396
1986,1986,918,891,1045,910,918,918,918,918,734,1077,624,871,838,1395,1395,1413,899,1084,1228,1007,1179,1228,1200,1088,839,923,1026,1254,1311,1461,854,1345,2349,843,2197,2217,1345,2567,2420,1187,1335,1051,1059,997,1369,1589,954,1147,1403,1543,1499,1525,1147,1209,1209,1361,1255,1390,1530,1586,1282,1299,1475,1118,1333,1028,924,1080,1010,1158,1244,1158,1185,1189,1158,1302,1090,1251,1389,1431,1447,2940,1538,1412,1513,1513,1346,1346,1596,1344,1389,1123,957,1123,1358,1219,1389,891,891,1328,1328,1335,969,1500,891,891,1472,1229,1568,1455,1568,1427,1309,1585,1201,1201,1152,1206,1201,917,1112,985,985,1212,1212,1020,862,927,1150,990,1044,1282,1078,1365,1286,1175,1143,1286,1477,1171,1722,1275,1262,1262,1722,1276,1256,1200,1275,1272,1529,1536,1536,1844,1844,958,1210,1108,1749,1749,1143,1192,1536,1274,1325,1222,737,744,706,1006,1089,1089,817,1302,1764,1148,1236,1123,1227,1424,1052,1329,1173,1173,1135,938,938,1040,1298,892,1181,1480,1181,1070,1302,1403,1421,1138,1127,1029,1138,1138,1313,1097,1089,1009,681,904,958,941,1057,1057,820,867,867,867,705,705,640,643,799,538,687,694,711,611,820,448,1057,684,728,644,681,764,809,735,570,965,867,559,995,596,429,874,769,797,696,728,794,653,658,757,742,628,703,726,1137,970,851,983,915,1179,888,969,898,828,987,756,716,756,822,728,980
1987,1987,993,1149,1008,1044,993,993,993,993,894,1135,899,1083,964,1605,1605,1663,936,1378,1279,1064,1445,1279,1237,987,1335,1263,979,1309,1249,1774,1598,1412,2053,718,1604,1548,1412,1887,1645,1470,1619,1353,1439,987,1373,1678,1170,1132,1455,1843,1923,1439,1132,1250,1250,1742,1717,1405,1781,1512,1673,1478,1648,1356,1401,1312,851,949,1329,1573,1419,1573,1429,1215,1573,1488,1467,1702,1369,1007,1162,2973,1494,1402,711,711,774,774,2184,1103,1369,1263,1037,1263,1165,1337,1369,1458,1458,1402,1402,1613,1405,1517,1433,1433,1591,1530,1753,1588,1753,1624,1456,1934,1458,1458,1642,1489,1458,1245,1312,1123,1123,953,953,1637,1378,1343,1400,1410,1318,1305,1400,1373,2014,1532,1368,2014,1336,1227,1927,1585,1371,1371,1927,1548,1359,1372,1403,1540,1812,1874,1874,1972,1972,1229,1448,1324,1932,1932,1489,1521,1874,1569,1826,1507,685,965,1182,1219,1169,1169,1288,1370,1666,1435,1299,1453,1283,1570,1301,1403,1614,1614,1284,987,987,1499,1572,1467,1403,1530,1403,1467,1811,1455,1392,1246,1246,1174,1249,1249,1342,1222,1169,1201,578,943,1109,1349,1206,1206,1056,868,868,868,916,916,871,913,827,602,733,1144,816,763,822,486,1141,758,917,817,838,828,939,817,718,868,1018,521,928,867,420,905,764,901,772,468,1084,809,766,565,856,868,809,650,1107,1187,1077,991,819,1174,939,903,1026,853,761,1051,1115,1051,980,981,1367
1988,1988,1048,1081,1064,1140,1048,1048,1048,1048,807,1277,749,1132,974,1068,1068,1032,968,1190,1310,938,1426,1310,1370,1348,1684,1169,1362,1473,1533,1949,1481,1507,2074,984,1645,1632,1507,2000,1819,1357,1706,1521,1530,1068,1599,1882,1239,1153,1763,1758,1806,1227,1153,1202,1202,1688,1606,1226,1612,1314,1655,1456,1540,957,1143,1045,1086,1071,1222,1198,1401,1198,1095,936,1198,1276,1127,835,1242,1457,1478,2793,2019,1702,705,705,723,723,2275,910,1242,1251,1299,1251,1188,1397,1242,1222,1222,1610,1610,1486,1338,1758,1205,1205,1519,1334,1640,1658,1640,1426,1433,1910,1421,1421,1471,1568,1421,1220,1370,1330,1330,1445,1445,1537,1336,1499,1584,1622,1608,1595,1575,1997,2158,1683,1242,2158,1505,1285,2007,1704,1406,1406,2007,1561,1407,1466,1428,1356,1774,1640,1640,2101,2101,1258,1548,1335,1786,1786,1644,1497,1640,1492,1547,1486,931,1304,1376,1559,1513,1513,1314,1474,2391,1414,1355,1408,1278,1788,1348,1578,1833,1833,1476,1271,1271,1420,1674,1413,1537,1871,1537,1438,1692,1763,1683,1452,1541,1441,1358,1358,1618,1280,1513,1620,716,1209,1196,1338,1385,1385,1208,724,724,724,1029,1029,865,980,1002,644,856,1062,696,787,785,549,1443,894,972,1033,973,1111,1279,918,724,901,1180,520,966,772,466,935,776,888,618,719,941,918,795,692,984,985,967,840,1251,808,855,981,909,965,837,1071,1200,814,1160,996,1007,996,839,1127,1239
1989,1989,931,1076,789,972,931,931,931,931,865,734,805,1095,836,1172,1172,1090,789,1134,979,889,1101,979,1096,1052,1092,1050,1112,1100,1244,1361,955,1510,1765,1058,1584,1556,1510,1812,1942,1453,1178,1052,1003,1083,1336,1655,1180,1008,1500,1462,1487,1342,1008,1019,1019,1429,1274,1196,1607,1202,1223,1178,1465,974,1123,867,1073,870,1483,1439,2616,1439,757,1252,1439,1283,727,315,1191,1452,1396,1674,1637,1623,677,677,911,911,1732,1160,1191,1417,931,1417,1318,1210,1191,1223,1223,1143,1143,1274,1134,1134,1243,1243,1406,1342,1308,1493,1308,1341,1311,1410,1127,1127,1205,1352,1127,1093,1139,1087,1087,885,885,1116,1054,1314,1091,1078,1025,1214,1146,1037,1691,1290,1134,1691,1426,1127,1738,1466,1608,1608,1738,1349,1616,1551,1597,1476,1485,1297,1297,1943,1943,1243,1452,1392,1542,1542,1542,1345,1297,1399,1363,1126,1030,682,906,1470,1425,1425,899,1104,1754,1164,1248,1140,1149,1510,1375,1345,1361,1361,1056,625,625,1075,1143,1060,1064,1535,1064,1093,1338,1500,1622,947,1345,1135,951,951,1245,893,1425,1316,969,1062,1187,1238,1115,1115,1208,937,937,937,1002,1002,879,936,967,541,928,741,588,650,867,716,1137,857,861,1010,780,772,860,874,725,947,919,710,1070,806,600,874,830,765,613,574,1085,661,641,669,929,634,705,591,1194,978,1056,1087,969,958,785,1022,1301,872,1234,1080,1068,1080,1078,968,1206
