Stations,RUBUNGORAB,KABUYESW,BUTAMWA,MULINDI,RWESERO,RUKOZO,RUTONGO,CYINZUZI,MUGAMBAZI,RUSIGA,BUTARO,KINONI,NTARUKA,KAGOGO,RUHUNDE,SHINGIRO,NYANGEKABEZA,KINIGI,REMERA,NEMBAPAROISSE,CYABINGO,MINAZI,MUYONGWE,JANJA,RUSHASHI,RULI,GACURABWENGE,MUGINA,KAYENZI,NYABINONI,RUGENDABARI,KIVUMU,KIBANGU,NYAMABUYE,MWENDO,GITWE,KIGOMA,KINAZI,RURANGAZI,NYAMIYAGAPAROISSE,BUSASAMANANYANZA,KARAMAGAHORORO,KIGOMA,SIMBI,NYAKIBANDA,RUBONA,GIKONKO,CYILI,MUKINDO,GAKOMA,SAVE,KANSI,KIGEMBE,CYAHINDA,RUNYOMBYI,KIBEHO,MUDASOMWATARESECTOR,GATARE,BURUHUKIRO,MUSHUBIPAROISSE,KADUHASECTOR,CYANIKAKUISHURI,KIGEMEKUISHURI,KITABITEA,NYAMATAPAROISSE,RUHUHA,JURU,KARAMA,GISHALI,MWULIRE,NZIGE,RWAMAGANA,MUSHA,KABARONDO,GAHINI,MWIRI,MUKARANGE,RWINKWAVU,NDEGO,MURUNDI,KIZIGURO,RWIMBOGO,GABIRO,GASANGE,NYAGAHANGA,NGARAMA,KABARORE,MUHURA,NYAKIGAKARAMA,KAGITUMBAGARDENFRESH,GATUNDA,MUTENDERI,SAKE,ZAZA,JARAMA,KIREHE,MUSAZA,NYAMUGALI,NYARUBUYE,MPANGA,GAHARA,MURAMBA,GATUMBA,KABAYA,MUHANDARUBAYA,NYANGE,SOVU,NYUNDO,RYABIZIGE,BUSASAMANA,KANAMA,RUGABANO,GISHYITA,RUGABANOTEA,TWUMBA,MUSHUBATI,GIHANGO,BONEZA,MURUNDAPAROISSE,RUGERA,RWANKERI,BIGOGWE,NYAMASHEKE,NTENDEZI,CYATO,KIRIMBI,KANJONGO,SHANGI,NKANKA,NYAKABUYE,MURURU,MIBIRIZI,GITEGA,KIGALIAERO,GIKONGOROMET,BYIMANA,RUBENGERAMET,GISENYIAERO,KAMEMBEAERO,BUSOGOISAE,RUHENGERIAERO,BYUMBAMET,NYAGATARE,KAWANGIRE,KIBUNGOKAZO,BUGARAMARIZ
LON,30.16,30.07111,30.03333,30.05,30.16,29.94833,30.05,30,30.05,29.94778,29.83,29.71,29.75,29.76,29.93,29.5,29.51,29.59419,29.75,29.78,29.68,29.78,29.87,29.67,29.85726,29.81,29.91,29.94,29.85,29.68,29.66,29.8,29.68,29.78,29.68,29.7,29.8,29.91,29.65,29.86,29.76,29.64,29.63,29.7,29.68,29.76,29.86,29.88,29.91,29.85,29.76,29.75,29.7,29.6,29.51,29.55,29.45,29.48185,29.38,29.45,29.53,29.6,29.53,29.43,30.45,30.01,30.19,30.28,30.42961,30.4046,30.34012,30.43,30.3327,30.5575,30.50751,30.57677,30.5,30.605,30.71153,30.54625,30.28,30.44,30.4,30.29,30.2,30.23,30.38,30.23,30.3,30.56,30.21,30.48,30.39029,30.43251,30.37914,30.66,30.62915,30.74958,30.75319,30.79871,30.50404,29.68,29.63306,30.55293,29.63194,29.58,29.52,29.31,29.31,29.34514,29.35,29.48019,29.29194,29.47938,29.36242,29.3977,29.38365,29.30694,29.38333,29.61,29.51,29.42374,29.08,29.04478,29.20117,29.22428,29.13669,29.00594,28.93214,29.02669,28.89019,28.95642,30.06,30.11,29.55,29.71,29.41,29.26,28.91,29.55,29.61,30.05,30.31,30.43,30.5,29.02
ANNUAL/LAT,-1.92,-1.890556,-2.016667,-1.48,-1.8,-1.62194,-1.81,-1.76,-1.8,-1.61,-1.41,-1.43,-1.46,-1.55,-1.6,-1.5,-1.46,-1.440278,-1.53,-1.6,-1.56,-1.73,-1.72,-1.68,-1.727652,-1.81,-2.1,-2.11,-1.9,-1.76,-1.95,-2.05,-1.83,-2.08,-2.15528,-2.21,-2.23,-2.2,-2.35,-2.46,-2.35,-2.6,-2.46,-2.52,-2.65,-2.46,-2.48,-2.48,-2.46,-2.71,-2.55,-2.7,-2.73,-2.73,-2.78,-2.65,-2.5,-2.514158,-2.38,-2.36,-2.33,-2.43,-2.48,-2.55,-2.15,-2.35,-2.1,-2.26,-1.913807,-1.97656,-2.02628,-1.93,-1.931578,-2.01056,-1.847942,-1.880582,-1.9,-1.972123,-2.014543,-1.704987,-1.63,-1.63,-1.55,-1.8,-1.61,-1.58,-1.62,-1.52,-1.218333,-1.63,-1.36,-2.26,-2.225327,-2.155898,-2.277985,-2.26,-2.3314,-2.285803,-2.18378,-2.16765,-2.334903,-1.56,-1.9475,-1.770633,-1.94778,-2.05,-1.91,-1.7,-1.62,-1.604867,-1.7,-2.056472,-2.155167,-2.09678,-2.241972,-2.016467,-1.95,-1.903333,-1.916667,-1.61,-1.58,-1.626994,-2.34,-2.446222,-2.407028,-2.256861,-2.318444,-2.409639,-2.418833,-2.563722,-2.537361,-2.573806,-1.96,-1.95,-2.48,-2.16,-2.07,-1.68,-2.46,-1.56,-1.48,-1.6,-1.28,-1.81,-2.15,-2.68
1983,15.51225,15.47244,15.75534,12.70663,15.19447,12.17636,13.47688,12.58537,13.47688,12.17636,11.49926,10.71581,11.83967,11.80474,12.01638,8.41512,8.44992,10.34301,11.88,11.97844,13.10614,13.54605,12.23211,14.82093,12.49778,14.16364,14.32814,14.32814,15.25263,14.58652,14.56929,12.41595,14.53756,12.50649,14.79255,14.12416,13.80668,14.53553,14.6743,13.43345,14.62507,12.8369,14.19082,14.81921,14.20647,14.17644,13.43345,13.27195,13.40488,13.72225,15.05953,14.30312,14.46899,13.41241,11.86992,13.00447,10.78701,11.35751,10.40277,12.78841,13.37214,14.41438,12.7929,10.68079,15.56274,14.39,15.37107,15.65323,16.10912,16.26482,15.29318,16.10912,15.64334,16.19233,16.46918,16.52797,16.13074,16.60819,16.19153,15.35016,14.04901,15.49392,15.63011,14.92342,13.23929,13.66797,15.35888,13.81049,14.6534,15.23101,14.40268,15.16178,14.62211,15.56274,14.84953,16.54315,16.64301,16.86301,16.67167,16.54058,15.04759,13.10614,13.14153,15.97219,13.14153,12.91819,11.21216,12.61589,12.46342,11.46153,11.87696,12.76099,14.60238,13.07721,12.27241,15.75449,12.6677,13.57603,13.74622,11.23082,8.6831,10.04066,13.64501,12.68855,11.75145,13.64973,13.61836,14.91636,14.09841,11.72951,13.44214,11.99471,15.96093,16.00362,13.5203,14.2917,16.02863,15.43436,15.45493,9.94611,11.60436,12.88485,14.76444,15.15449,15.45301,18.48504
1984,15.11429,15.06451,15.32475,12.45522,14.8074,11.94393,13.14664,12.29831,13.14664,11.94393,11.29639,10.56402,11.63025,11.58579,11.78279,8.4309,8.3862,10.21128,11.66158,11.75361,12.84885,13.24699,11.94626,14.48383,12.20658,13.83448,13.93011,13.93011,14.84683,14.25896,14.18645,12.09749,14.19986,12.16016,14.3865,13.73025,13.41885,14.12913,14.24385,13.03631,14.20333,12.46626,13.7765,14.37921,13.78683,13.75962,13.03631,12.87997,13.00746,13.31385,14.61817,13.87992,14.03842,13.02339,11.56828,12.65648,10.51478,11.06484,10.15235,12.46005,13.01317,13.99454,12.45656,10.41033,15.11743,13.96183,14.9438,15.19699,15.66574,15.81205,14.89358,15.66574,15.2071,15.74656,16.02363,16.07858,15.68656,16.14645,15.73333,14.95303,13.72828,15.10686,15.24235,14.54546,12.94574,13.35869,14.98301,13.49519,14.30344,14.84913,14.06363,14.71366,14.19374,15.11743,14.41694,16.05929,16.15948,16.38847,16.20648,16.07456,14.60448,12.84885,12.80683,15.54839,12.80683,12.59243,10.99945,12.37806,12.26363,11.28842,11.66587,12.47186,14.21402,12.76923,11.97148,15.36536,12.39257,13.27863,13.43604,11.04287,8.59743,9.91667,13.29776,12.35689,11.43484,13.30186,13.26249,14.53467,13.75033,11.43746,13.11746,11.7047,15.52413,15.56705,13.16347,13.8947,15.6197,15.14806,15.06929,9.82172,11.42699,12.64008,14.41369,14.75432,15.00948,17.98178
1985,14.94567,14.92504,15.16312,12.29044,14.64775,11.77967,12.99458,12.15789,12.99458,11.77967,11.14597,10.37318,11.47849,11.44721,11.62688,8.21082,8.17129,10.01356,11.52142,11.61019,12.71244,13.10036,11.8189,14.34479,12.07715,13.6977,13.7854,13.7854,14.7114,14.11729,14.09203,11.97712,14.06,12.06104,14.28315,13.60816,13.29973,13.97214,14.12866,12.90121,14.06778,12.32488,13.64115,14.24981,13.65614,13.62247,12.90121,12.74803,12.87948,13.18323,14.46644,13.75049,13.90852,12.89386,11.44299,12.54003,10.38879,10.93877,10.03085,12.33622,12.9114,13.86384,12.32901,10.28658,14.90562,13.83126,14.76414,14.99915,15.44858,15.59214,14.692,15.44858,15.01008,15.52055,15.806,15.85742,15.46995,15.90636,15.514,14.78027,13.57732,14.95222,15.09619,14.37216,12.78827,13.20978,14.84644,13.35085,14.16841,14.69052,13.92956,14.50658,14.01359,14.90562,14.23178,15.81992,15.91556,16.14049,15.96877,15.84101,14.40397,12.71244,12.71742,15.3611,12.71742,12.49238,10.87033,12.24712,12.09959,11.11992,11.52214,12.3471,14.11373,12.64907,11.85556,15.25507,12.29655,13.18534,13.34937,10.88726,8.40403,9.73318,13.19455,12.25827,11.35449,13.20145,13.16712,14.4229,13.62868,11.3303,12.99279,11.58871,15.36077,15.39485,13.03101,13.77786,15.51893,14.97885,14.94384,9.64266,11.24729,12.45901,14.27849,14.58085,14.80164,17.88247
1986,14.93468,14.91732,15.1043,12.33986,14.64137,11.83362,13.00937,12.17603,13.00937,11.83362,11.18395,10.43882,11.51101,11.47263,11.67499,8.29093,8.25416,10.07956,11.54548,11.64392,12.72871,13.09466,11.82855,14.33101,12.08595,13.67485,13.71011,13.71011,14.66258,14.10732,14.00107,11.94293,14.02466,11.98148,14.17633,13.50751,13.20452,13.89255,14.006,12.79701,13.94816,12.21912,13.52014,14.122,13.53121,13.50074,12.79701,12.64532,12.77397,13.07682,14.34008,13.62663,13.78101,12.77827,11.33745,12.4154,10.29614,10.83877,9.94537,12.21912,12.78608,13.74016,12.21173,10.19392,14.83159,13.7189,14.71729,14.90216,15.42888,15.57142,14.68058,15.42888,15.00436,15.47499,15.80726,15.85879,15.45022,15.86359,15.45879,14.79222,13.60778,14.97997,15.12378,14.38093,12.82803,13.24178,14.87077,13.38285,14.20381,14.71389,13.964,14.41734,13.94627,14.83159,14.14104,15.72756,15.82041,16.07871,15.9151,15.78868,14.31227,12.72871,12.64726,15.37427,12.64726,12.41751,10.85315,12.23748,12.1206,11.15071,11.52542,12.27233,13.99863,12.5689,11.72797,15.14748,12.23808,13.11329,13.29225,10.92929,8.4731,9.78216,13.05942,12.12984,11.21849,13.06849,13.02868,14.27247,13.49025,11.21614,12.86099,11.4737,15.30482,15.33912,12.90553,13.67655,15.40299,14.96085,14.78737,9.68973,11.29033,12.51381,14.31767,14.59014,14.72978,17.67923
1987,15.44545,15.40619,15.69688,12.64784,15.13219,12.12603,13.41573,12.51805,13.41573,12.12603,11.44244,10.64962,11.78342,11.75304,11.96827,8.4163,8.37877,10.28,11.82827,11.92205,13.04871,13.48085,12.16192,14.74647,12.42652,14.10129,14.27507,14.27507,15.17655,14.51723,14.48458,12.36942,14.47345,12.43811,14.71855,14.03118,13.72134,14.4763,14.58729,13.35504,14.54419,12.7326,14.0914,14.73066,14.10534,14.09099,13.35504,13.19351,13.32611,13.63726,14.9669,14.20699,14.36742,13.31038,11.74671,12.87858,10.66167,11.2309,10.28104,12.65121,13.258,14.31532,12.66153,10.55688,15.4406,14.30775,15.30279,15.55742,15.99071,16.14151,15.22504,15.99071,15.54427,16.05562,16.3197,16.37438,16.00912,16.44989,16.02696,15.22792,13.9774,15.3697,15.50825,14.82803,13.16493,13.59726,15.27104,13.73564,14.5557,15.10389,14.31178,15.0471,14.54208,15.4406,14.77422,16.39603,16.49923,16.68751,16.504,16.37033,14.94458,13.04871,13.06151,15.83233,13.06151,12.83542,11.13479,12.54723,12.39929,11.39627,11.80644,12.68784,14.48233,12.99926,12.18247,15.65781,12.57351,13.47948,13.65055,11.1746,8.61641,9.97986,13.49805,12.54162,11.61773,13.50773,13.47301,14.7529,13.93956,11.59471,13.28816,11.8574,15.8997,15.9389,13.38521,14.20132,15.92967,15.34926,15.28378,9.88978,11.54737,12.8303,14.66384,15.03899,15.33468,18.30238
1988,15.245,15.2156,15.51019,12.37145,14.9379,11.8344,13.21377,12.28027,13.21377,11.8344,11.1494,10.30779,11.48027,11.46347,11.68792,7.93454,7.95025,9.92391,11.53486,11.62216,12.73817,13.17762,11.94276,14.41984,12.20391,13.8185,14.07257,14.07257,14.96251,14.19126,14.26374,12.16358,14.16314,12.24546,14.49984,13.82303,13.51926,14.26738,14.36541,13.21806,14.32358,12.52724,13.87432,14.51579,13.8976,13.89128,13.21806,13.06281,13.20071,13.50216,14.74131,14.00071,14.16025,13.10445,11.48022,12.61481,10.40541,10.97036,10.01839,12.35918,12.98462,14.09314,12.3844,10.305,15.23246,14.16831,15.12363,15.39609,15.76432,15.91019,14.96612,15.76432,15.3032,15.81648,16.05932,16.11148,15.77563,16.20415,15.77877,14.99852,13.78164,15.13986,15.28842,14.60587,12.95678,13.40557,15.07907,13.55,14.3771,14.88016,14.13596,14.84041,14.34593,15.23246,14.59937,16.16355,16.27025,16.41885,16.23391,16.10202,14.74,12.73817,12.83541,15.59615,12.83541,12.60347,10.815,12.13492,11.94079,10.95391,11.39716,12.37279,14.17358,12.6912,11.82156,15.31762,12.19208,13.08008,13.30642,10.85735,8.21429,9.55251,13.14158,12.21314,11.31464,13.16112,13.13541,14.36779,13.55634,11.27456,12.91183,11.51937,15.70872,15.74418,13.10292,13.99402,15.60112,14.76967,14.87402,9.48721,11.20978,12.53169,14.48585,14.81478,15.11702,17.89262
1989,14.94375,14.91205,15.17655,12.12951,14.64764,11.58175,12.91038,11.99748,12.91038,11.58175,10.92921,10.02523,11.25718,11.24786,11.44595,7.62279,7.62737,9.6397,11.31893,11.36945,12.50559,12.89438,11.6917,14.12792,11.94786,13.54378,13.69822,13.69822,14.61816,13.88241,13.9434,11.85441,13.84718,11.90858,14.12732,13.44658,13.14833,13.88299,13.92436,12.8546,13.88652,12.11014,13.44074,14.07753,13.47795,13.47685,12.8546,12.70592,12.84918,13.13258,14.28332,13.58044,13.74693,12.69411,11.09164,12.22134,10.0131,10.57737,9.62775,11.94521,12.60575,13.662,11.97507,9.91707,14.86649,13.808,14.76827,15.00449,15.39507,15.53252,14.62518,15.39507,14.94148,15.45518,15.71085,15.75627,15.41082,15.82016,15.4243,14.72159,13.54614,14.9091,15.07781,14.32093,12.7123,13.17304,14.85367,13.32948,14.18142,14.65433,13.94238,14.46718,13.99989,14.86649,14.23485,15.73868,15.83285,16.01208,15.83137,15.70255,14.37236,12.50559,12.49674,15.28868,12.49674,12.27822,10.43874,11.88808,11.67082,10.67836,11.13759,12.03685,13.85041,12.35008,11.4629,14.96658,11.87934,12.78392,12.99696,10.59455,7.9117,9.27022,12.81663,11.89616,10.99627,12.84027,12.82049,14.02033,13.20912,10.9617,12.57515,11.20192,15.37107,15.40493,12.67863,13.61937,15.24726,14.47326,14.51222,9.22038,10.95814,12.2629,14.29444,14.51975,14.75523,17.51921
1990,15.17,15.1326,15.44644,12.31616,14.85625,11.7794,13.13184,12.20227,13.13184,11.7794,11.11658,10.25964,11.44926,11.43121,11.63392,7.8763,7.87874,9.87841,11.50386,11.57405,12.70436,13.11918,11.87929,14.36145,12.13975,13.75962,13.99603,13.99603,14.88337,14.12364,14.20858,12.09077,14.11803,12.17058,14.42751,13.76227,13.45389,14.20115,14.29003,13.17463,14.26104,12.47649,13.81789,14.45715,13.84488,13.84389,13.17463,13.02079,13.15923,13.44975,14.68693,13.94545,14.10767,13.05137,11.41882,12.55515,10.34395,10.91025,9.94885,12.28605,12.91836,14.03416,12.32362,10.24397,15.15419,14.11745,15.06121,15.33241,15.67422,15.81627,14.87844,15.67422,15.18666,15.73995,15.976,16.02603,15.69022,16.11915,15.70395,14.92775,13.70822,15.07033,15.22096,14.52345,12.88463,13.33129,15.01044,13.47734,14.3131,14.81575,14.07112,14.7731,14.27786,15.15419,14.53789,16.09419,16.20027,16.3371,16.14504,16.01063,14.67614,12.70436,12.77123,15.51767,12.77123,12.5557,10.71764,12.09718,11.90263,10.91058,11.35296,12.33879,14.12121,12.65512,11.79468,15.28164,12.13592,13.02989,13.26458,10.80948,8.14696,9.50203,13.09011,12.162,11.27148,13.1111,13.08868,14.31203,13.49912,11.22378,12.85556,11.46742,15.63959,15.67951,13.0383,13.92948,15.56258,14.72033,14.81518,9.43658,11.17625,12.47301,14.42249,14.72751,15.03805,17.84079
