ID,Name,Latitude,Longitute,Elevation,Province,District,Sector
10201500, Rubungo RAB ,-1.92,30.16,1450,Kigali ,Gasabo ,Bumbogo 
10202200, Kabuye SW ,-1.89055556,30.07111111,1400,Kigali ,Gasabo ,Jabana 
10105200, Butamwa ,-2.01666667,30.03333333,1400,Kigali ,Nyarugenge ,Mageregere 
40510200, Mulindi ,-1.48,30.05,2100,Northern ,Gicumbi ,Kaniga 
40510300, Nyamiyaga (Kabeza) ,-1.43,30.05,2100,Northern ,Gicumbi ,Nyamiyaga 
40501300, Rwesero ,-1.8,30.16,1500,Northern ,Gicumbi ,Bukure 
40114700, Rukozo ,-1.62194,29.94833,1856,Northern ,Rulindo ,Rukozo 
40109500, Rutongo ,-1.81,30.05,1780,Northern ,Rulindo ,Rukozo 
40105200, Cyinzuzi ,-1.76,30,1950,Northern ,Rulindo ,Cyinzuzi 
40111200, Mugambazi ,-1.8,30.05,1800,Northern ,Rulindo ,Murambi 
40115700, Rusiga ,-1.61,29.94778,2110,Northern ,Rulindo ,Rusiga 
40402700, Butaro ,-1.41,29.83,1969,Northern ,Burera ,Butaro 
40409500, Kinoni ,-1.43,29.71,1904,Northern ,Burera ,Kinoni 
40409200, Ntaruka ,-1.46,29.75,1765,Northern ,Burera ,Kinoni 
40408200, Kagogo ,-1.55,29.76,1866,Northern ,Burera ,Kagogo 
40415200, Ruhunde ,-1.6,29.93,2235,Northern ,Burera ,Ruhunde 
40315700, Shingiro ,-1.5,29.5,2125,Northern ,Musanze ,Shingiro 
40312700, Nyange-kabeza ,-1.46,29.51,2198,Northern ,Musanze ,Nyange 
40307200, Kinigi ,-1.440277778,29.59419444,2267,Northern ,Musanze ,Kinigi 
40301500, Remera ,-1.53,29.75,1900,Northern ,Musanze ,Remera 
40216500, Nemba Paroisse ,-1.6,29.78,1686,Northern ,Gakenke ,Nemba 
40203500, Cyabingo ,-1.56,29.68,1870,Northern ,Gakenke ,Cyabingo 
40211700, Minazi ,-1.73,29.78,2072,Northern ,Gakenke ,Minazi 
40214700, Muyongwe ,-1.72,29.87,1573,Northern ,Gakenke ,Muyongwe 
40206200, Janja ,-1.68,29.67,1714,Northern ,Gakenke ,Janja 
40219200, Rushashi ,-1.727652,29.857256,1785,Northern ,Gakenke ,Rushashi 
40217500, Ruli ,-1.81,29.81,2000,Northern ,Gakenke ,Ruli 
