name,province,district,sensors,activities,Checked on
Gasange,EAST,Gatsibo,"[{""type"": ""Temperature"", ""status"": ""SUSPECTED"", ""checkedOn"": ""2025-01-01""}]","[{""date"": ""2025-09-02"", ""activity"": ""Routine Maintenance""}, {""date"": ""2025-08-15"", ""activity"": ""Sensor Calibration""}]",12/02/2025
Kiziguro,EAST,Gatsibo,,,
Gahini,EAST,Kayonza,,,
Kabarondo,EAST,Kayonza,,,
Murundi East,EAST,Kayonza,,,
Mwiri,EAST,Kayonza,,,
Gahara,EAST,Kirehe,,,
Musaza,EAST,Kirehe,,,
Nyamugali,EAST,kirehe,,,
Nyarubuye Parish,EAST,Kirehe,,,
Murama,EAST,Ngoma,,,
Mutenderi,EAST,Ngoma,,,
Sake,EAST,Ngoma,,,
Kagitumba,EAST,Nyagatare,,,
Rwempesha,EAST,Nyagatare,,,
Musha,EAST,Rwamagana,,,
Nzige,EAST,Rwamagana,,,
Rwimbogo,EAST,Gatsibo,,,
Jali,KIGALI,Gasabo,,,
Gahanga,KIGALI,Kicukiro,,,
Rubirizi,KIGALI,Kicukiro,,,
Masaka,KIGALI,Kicukiro,,,
Kigali Sector,KIGALI,Nyarugenge,,,
Rugunga,KIGALI,Nyarugenge,,,
Kinoni,NORTH,Burera,,,
Cyumba,NORTH,Gakenke,,,
Cyabingo,NORTH,Gakenke,,,
Gakenke District,NORTH,Gakenke,,,
Minazi,NORTH,Gakenke,,,
Bwisige,NORTH,Gicumbi,,,
Nyange,NORTH,Musanze,,,
Cyinzuzi,NORTH,Rulindo,,,
Kinihira,NORTH,Rulindo,,,
Rukozo,NORTH,Rulindo,,,
Rusiga,NORTH,Rulindo,,,
Mukindo,SOUTH,Gisagara,,,
Save,SOUTH,Gisagara,,,
Gisagara (District),SOUTH,Gisagara,,,
Karama / Huye,SOUTH,Huye,,,
Rusatira,SOUTH,Huye,,,
Simbi,SOUTH,Huye,,,
Tumba,SOUTH,Huye,,,
Kivumu Parish,SOUTH,Muhanga,,,
Kitabi,SOUTH,Nyamagabe,,,
Tare,SOUTH,Nyamagabe,,,
Muyira,SOUTH,Nyanza,,,
Ntyazo,SOUTH,Nyanza,,,
Cyahinda,SOUTH,Nyaruguru,,,
Ngera,SOUTH,Nyaruguru,,,
Kibeho,SOUTH,Nyaruguru,,,
Muganza Parish,SOUTH,Nyaruguru,,,
Bweramana,SOUTH,Ruhango,,,
Mwendo,SOUTH,Ruhango,,,
Ruhango South,SOUTH,Ruhango,,,
Bwishyura,WEST,Karongi,,,
Murambi,WEST,Karongi,,,
Murundi West,WEST,Karongi,,,
Kabaya,WEST,Ngororero,,,
Rugera,WEST,Nyabihu,,,
Shangi Parish,WEST,Nyamasheke,,,
Busasamana,WEST,Rubavu,,,
Cyanzarwe,WEST,Rubavu,,,
Kanzenze,WEST,Rubavu,,,
Rugerero,WEST,Rubavu,,,
Shagasha,WEST,Rusizi,,,
Nkanka,WEST,Rusizi,,,
Nyakarenzo,WEST,Rusizi,,,
Ruhango Sector,WEST,Rutsiro,,,
Kivumu (Sector),WEST,Rutsiro,,,
Mushubati,WEST,Rutsiro,,,
...,,,,,
